,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
0,1009,Center for Design Research (CDR),Pre-certified,Ryan Abendroth,Studio 804 - Kansas University,"Lawrence, KS",Timber,Government,2396,New Construction,,[],,,KS,Lawrence
1,1073,Hickory Hall,Pre-certified,Adam Cohen,Mod-U-Kraf,"Emory , VA",Timber,Commercial,29248,New Construction,,[],,,VA,Emory
2,1077,HABITAT FOR THE 21ST CENTURY,Pre-certified,Robert Moore,Habitat for Humanity,"Tacoma, WA",Timber,Single Family,1232,New Construction,,[],,,WA,Tacoma
3,1095,1202 Idaho Street,Pre-certified,Christopher Gonzales,Habitat for Humanity of Gallatin Valley,"Belgrade, MT",Timber,Single Family,1604,New Construction,,[],,,MT,Belgrade
4,1117,The Passive-Agressive Home,Pre-certified,Vic Weber,Oak Tree Homes,"Wilton, IA",Mixed timber-masonry,Single Family,3410,New Construction,,[],,,IA,Wilton
5,1121,Grant Residence,Pre-certified,Alan Abrams,Jos. Klockner & Co.,"Derwood, MD",Timber,Single Family,1735,New Construction,,[],,,MD,Derwood
6,1131,The Urbana,Pre-certified,Bill McDonald,Phoenix Haus,"Freeland, MI",Timber,Single Family,3234,New Construction,,[],,,MI,Freeland
7,1132,McKeesport Downtown Housing (Residential),Pre-certified,Michael Whartnaby,Repal Construction,"McKeesport, PA",Masonry,Multifamily,36643,Retrofit,,[],,,PA,McKeesport
8,1140,Abbate House,Pre-certified,Nick Wakem,Stephen Isdale,"Austin, TX",Timber,Single Family,1130,New Construction,,[],,,TX,Austin
9,1143,Oracle Institute,Pre-certified,Adam Cohen,,"Hillsville, VA",,Commercial,6390,New Construction,,[],,,VA,Hillsville
10,1153,Summit Haus,Pre-certified,David Brach,Park City Design Build,"Park City, UT",Timber,Single Family,1869,New Construction,,[],,,UT,Park City
11,1176,Bergman Residence,Pre-certified,,PRHG General Contractors,"Bellmore, NY",,Single Family,2025,New Construction,,[],,,NY,Bellmore
12,1178,Carmouche Residence,Pre-certified,Adam Cohen,"Structures Design/Build, LLC","ROANOKE, VA",,Single Family,6578,New Construction,,[],,,VA,ROANOKE
13,1183,Hazelwood Neighborhood Center,Pre-certified,,"Nelcon, Inc.","Pittsburgh, PA",Masonry,Commercial,11088,Retrofit,,[],,,PA,Pittsburgh
14,1209,Harrison Street Passive House,Pre-certified,Izumi Kitajima,"O'Neill Development, Inc.","Rockville, MD",Timber,Single Family,4024,New Construction,,[],,,MD,Rockville
15,1234,Knight Residence,Pre-certified,Adam Cohen,"Structures Design/Build, LLC","Earlysville, VA",Timber,Single Family,,New Construction,,[],,,VA,Earlysville
16,1235,Sonoran Desert Passive,Pre-certified,David Brubaker,,"Tucson, AZ",,Single Family,2734,New Construction,,[],,,AZ,Tucson
